user_id,food_id,rating,user_encoded,food_encoded
0,0,1.5,0,0
0,1,2.5,0,1
0,2,0.0,0,2
0,5,2.5,0,5
0,9,2.0,0,9
0,11,4.0,0,11
0,13,4.0,0,13
0,14,4.0,0,14
0,15,2.5,0,15
0,16,4.5,0,16
0,17,2.0,0,17
0,18,3.5,0,18
0,20,1.5,0,20
0,29,2.5,0,29
0,32,5.0,0,32
0,37,2.5,0,37
0,40,2.0,0,40
0,41,0.5,0,41
0,42,2.5,0,42
0,46,4.0,0,46
0,48,2.5,0,48
0,49,4.5,0,49
0,51,2.0,0,51
0,55,2.0,0,55
0,58,1.0,0,58
0,59,1.5,0,59
0,60,0.0,0,60
0,62,2.5,0,62
0,66,1.0,0,66
0,70,2.5,0,70
0,71,0.5,0,71
0,72,2.5,0,72
0,74,1.0,0,74
0,81,0.5,0,81
0,86,2.0,0,86
0,87,5.0,0,87
0,89,4.0,0,89
0,90,1.5,0,90
0,96,2.5,0,96
0,99,2.5,0,99
0,100,4.0,0,100
0,101,3.0,0,101
0,102,4.0,0,102
0,105,1.0,0,105
0,106,3.0,0,106
0,110,0.0,0,110
0,118,4.0,0,118
0,121,0.5,0,121
0,122,3.0,0,122
0,124,2.5,0,124
0,128,1.5,0,128
0,130,1.5,0,130
0,131,5.0,0,131
0,132,0.5,0,132
0,134,0.5,0,134
0,135,1.5,0,135
0,138,1.5,0,138
0,143,1.0,0,143
0,146,4.0,0,146
0,148,1.5,0,148
0,149,2.0,0,149
0,150,0.0,0,150
0,152,2.0,0,152
0,154,4.5,0,154
0,157,4.0,0,157
0,158,1.5,0,158
0,164,5.0,0,164
0,165,0.0,0,165
0,167,4.5,0,167
0,169,1.0,0,169
0,170,0.0,0,170
0,171,3.5,0,171
0,173,0.0,0,173
0,179,4.5,0,179
0,183,0.5,0,183
0,184,4.0,0,184
0,185,0.5,0,185
0,187,4.5,0,187
0,190,0.0,0,190
0,192,3.0,0,192
0,195,3.5,0,195
0,198,5.0,0,198
0,202,1.0,0,202
0,204,4.5,0,204
0,206,2.5,0,206
0,209,1.5,0,209
0,210,3.0,0,210
0,213,0.0,0,213
0,214,3.5,0,214
0,218,3.5,0,218
0,222,0.5,0,222
0,224,0.5,0,224
0,227,0.5,0,227
0,228,2.5,0,228
0,230,2.0,0,230
0,233,0.0,0,233
0,234,4.0,0,234
0,236,2.5,0,236
0,237,2.5,0,237
0,238,1.0,0,238
0,241,4.0,0,241
0,244,2.5,0,244
0,245,1.5,0,245
0,246,2.0,0,246
0,247,1.0,0,247
0,249,1.5,0,249
0,250,4.0,0,250
0,253,2.5,0,253
0,254,4.5,0,254
0,256,1.5,0,256
0,264,2.0,0,264
0,265,1.0,0,265
0,267,4.0,0,267
0,271,0.0,0,271
0,283,1.0,0,283
0,284,1.0,0,284
0,285,4.0,0,285
0,287,0.5,0,287
0,290,5.0,0,290
0,292,2.0,0,292
0,293,4.5,0,293
0,294,0.0,0,294
0,297,3.5,0,297
0,301,1.0,0,301
0,303,5.0,0,303
0,306,3.5,0,306
0,311,0.0,0,311
0,313,0.0,0,313
0,314,5.0,0,314
0,319,1.5,0,319
0,321,0.0,0,321
0,322,3.0,0,322
0,324,2.0,0,324
0,325,4.5,0,325
0,326,1.0,0,326
0,327,0.0,0,327
0,329,1.0,0,329
0,330,2.5,0,330
0,331,4.0,0,331
0,333,2.0,0,333
0,335,0.0,0,335
0,337,2.5,0,337
0,338,0.5,0,338
0,341,1.0,0,341
0,347,2.0,0,347
0,350,3.5,0,350
0,353,0.5,0,353
0,358,0.0,0,358
0,364,2.5,0,364
0,365,4.0,0,365
0,366,1.0,0,366
0,368,4.0,0,368
0,372,5.0,0,372
0,374,0.5,0,374
0,375,5.0,0,375
0,376,1.0,0,376
0,377,4.0,0,377
0,379,1.0,0,379
0,381,3.5,0,381
0,383,0.5,0,383
0,385,3.0,0,385
0,393,5.0,0,393
0,394,3.0,0,394
0,398,0.5,0,398
0,400,3.0,0,400
0,402,4.0,0,402
0,404,4.0,0,404
0,414,5.0,0,414
0,415,1.5,0,415
0,416,4.5,0,416
0,418,2.0,0,418
0,421,4.5,0,421
0,422,2.0,0,422
0,425,3.5,0,425
0,426,1.0,0,426
0,428,1.0,0,428
0,438,3.0,0,438
0,439,4.5,0,439
0,442,4.0,0,442
0,443,3.0,0,443
0,449,5.0,0,449
0,450,4.0,0,450
0,453,1.0,0,453
0,454,2.5,0,454
0,455,5.0,0,455
0,459,0.0,0,459
0,463,5.0,0,463
0,464,4.0,0,464
0,470,4.5,0,470
0,476,2.0,0,476
0,480,4.5,0,480
0,481,1.5,0,481
0,482,3.0,0,482
0,485,2.5,0,485
0,487,2.5,0,487
0,492,0.5,0,492
0,496,5.0,0,496
0,498,5.0,0,498
0,502,1.0,0,502
0,503,3.0,0,503
0,504,0.0,0,504
0,506,4.5,0,506
0,509,2.0,0,509
0,510,4.0,0,510
0,512,4.5,0,512
0,513,0.5,0,513
0,514,2.5,0,514
0,515,1.0,0,515
0,516,3.5,0,516
0,519,4.0,0,519
0,524,0.5,0,524
0,525,4.0,0,525
0,527,2.0,0,527
0,531,0.5,0,531
0,535,0.0,0,535
0,537,4.0,0,537
0,539,1.5,0,539
0,540,0.0,0,540
0,544,4.5,0,544
0,545,0.5,0,545
0,546,4.5,0,546
0,548,4.5,0,548
0,549,1.5,0,549
0,550,0.0,0,550
0,551,4.0,0,551
0,553,4.5,0,553
0,560,5.0,0,560
0,561,1.0,0,561
0,565,0.5,0,565
0,567,2.0,0,567
0,569,3.5,0,569
0,570,5.0,0,570
0,571,2.0,0,571
0,574,0.5,0,574
0,575,4.5,0,575
0,578,5.0,0,578
0,581,1.5,0,581
0,584,3.0,0,584
0,590,5.0,0,590
0,591,0.0,0,591
0,597,1.5,0,597
0,603,3.5,0,603
0,604,3.5,0,604
0,606,5.0,0,606
0,610,0.0,0,610
0,612,1.5,0,612
0,613,1.0,0,613
0,617,5.0,0,617
0,619,3.0,0,619
0,620,4.0,0,620
0,622,5.0,0,622
0,623,1.5,0,623
